measured mz, measured rt, matched mz, matched rt
269.087860, 8.140580, 269.088046, 8.166580
269.088684, 8.140580, 269.088046, 8.166580
537.167114, 8.140580, 537.168815, 8.138302
537.169434, 8.140580, 537.168815, 8.138302
269.087006, 8.165423, 269.088046, 8.166580
269.087860, 8.165423, 269.088046, 8.166580
269.088684, 8.165423, 269.088046, 8.166580
537.167114, 8.165423, 537.168815, 8.138302
537.169434, 8.165423, 537.168815, 8.138302
269.087006, 8.190412, 269.088046, 8.166580
269.087860, 8.190412, 269.088046, 8.166580
269.088684, 8.190412, 269.088046, 8.166580
291.069244, 8.190412, 291.069990, 8.209606
291.070190, 8.190412, 291.069990, 8.209606
291.071136, 8.190412, 291.069990, 8.209606
291.069244, 8.216252, 291.069990, 8.209606
291.070190, 8.216252, 291.069990, 8.209606
291.071136, 8.216252, 291.069990, 8.209606
162.075562, 8.393578, 162.076084, 8.424538
162.075958, 8.393578, 162.076084, 8.424538
162.076340, 8.393578, 162.076084, 8.424538
162.076736, 8.393578, 162.076084, 8.424538
162.075562, 8.418580, 162.076084, 8.424538
162.075958, 8.418580, 162.076084, 8.424538
162.076340, 8.418580, 162.076084, 8.424538
162.076736, 8.418580, 162.076084, 8.424538
189.087357, 8.418580, 189.086983, 8.389783
162.075958, 8.443922, 162.076084, 8.424538
162.076340, 8.443922, 162.076084, 8.424538
162.076736, 8.443922, 162.076084, 8.424538
112.049927, 8.645920, 112.050538, 8.653370
112.050156, 8.645920, 112.050538, 8.653370
112.050377, 8.645920, 112.050538, 8.653370
112.050606, 8.645920, 112.050538, 8.653370
112.050827, 8.645920, 112.050538, 8.653370
112.051048, 8.645920, 112.050538, 8.653370
112.051277, 8.645920, 112.050538, 8.653370
112.051498, 8.645920, 112.050538, 8.653370
112.050156, 8.670578, 112.050538, 8.653370
112.050377, 8.670578, 112.050538, 8.653370
112.050606, 8.670578, 112.050538, 8.653370
112.050827, 8.670578, 112.050538, 8.653370
112.051048, 8.670578, 112.050538, 8.653370
112.051277, 8.670578, 112.050538, 8.653370
112.051498, 8.670578, 112.050538, 8.653370
205.096390, 8.722082, 205.097154, 8.737421
205.096939, 8.722082, 205.097154, 8.737421
205.097504, 8.722082, 205.097154, 8.737421
205.098053, 8.722082, 205.097154, 8.737421
205.096390, 8.749080, 205.097154, 8.737421
205.096939, 8.749080, 205.097154, 8.737421
205.097504, 8.749080, 205.097154, 8.737421
205.098053, 8.749080, 205.097154, 8.737421
284.098022, 8.973912, 284.098945, 9.000000
284.098907, 8.973912, 284.098945, 9.000000
284.099823, 8.973912, 284.098945, 9.000000
284.098022, 8.998745, 284.098945, 9.000000
284.098907, 8.998745, 284.098945, 9.000000
284.099823, 8.998745, 284.098945, 9.000000
284.098022, 9.024080, 284.098945, 9.000000
284.098907, 9.024080, 284.098945, 9.000000
284.099823, 9.024080, 284.098945, 9.000000
203.102295, 9.446412, 203.102633, 9.459378
203.102844, 9.446412, 203.102633, 9.459378
203.103394, 9.446412, 203.102633, 9.459378
203.102844, 9.470745, 203.102633, 9.459378
203.103394, 9.470745, 203.102633, 9.459378
184.107269, 9.693247, 184.108053, 9.707988
184.107742, 9.693247, 184.108053, 9.707988
184.108215, 9.693247, 184.108053, 9.707988
184.108688, 9.693247, 184.108053, 9.707988
104.070587, 9.717578, 104.070605, 9.729510
104.070786, 9.717578, 104.070605, 9.729510
184.107269, 9.717578, 184.108053, 9.707988
184.107742, 9.717578, 184.108053, 9.707988
184.108215, 9.717578, 184.108053, 9.707988
184.108688, 9.717578, 184.108053, 9.707988
284.098022, 9.717578, 284.098945, 9.746697
284.098907, 9.717578, 284.098945, 9.746697
284.099823, 9.717578, 284.098945, 9.746697
198.123352, 9.742917, 198.123703, 9.747517
198.123886, 9.742917, 198.123703, 9.747517
198.124405, 9.742917, 198.123703, 9.747517
284.098022, 9.742917, 284.098945, 9.746697
284.098907, 9.742917, 284.098945, 9.746697
284.098022, 9.766582, 284.098945, 9.746697
284.098907, 9.766582, 284.098945, 9.746697
284.099823, 9.766582, 284.098945, 9.746697
162.076340, 10.075087, 162.076084, 10.100000
162.076736, 10.075087, 162.076084, 10.100000
334.139465, 10.193247, 334.139747, 10.212527
334.140625, 10.193247, 334.139747, 10.212527
182.080658, 10.240423, 182.081170, 10.255519
182.081116, 10.240423, 182.081170, 10.255519
182.081589, 10.240423, 182.081170, 10.255519
182.082047, 10.240423, 182.081170, 10.255519
334.140625, 10.240423, 334.139747, 10.212527
182.081116, 10.263078, 182.081170, 10.255519
182.081589, 10.263078, 182.081170, 10.255519
182.082047, 10.263078, 182.081170, 10.255519
182.081116, 10.286255, 182.081170, 10.255519
182.081589, 10.286255, 182.081170, 10.255519
182.082047, 10.286255, 182.081170, 10.255519
189.123718, 10.449748, 189.123369, 10.451390
189.124207, 10.449748, 189.123369, 10.451390
810.131470, 10.472245, 810.133050, 10.475120
810.135803, 10.472245, 810.133050, 10.475120
130.085922, 10.495080, 130.086255, 10.525424
130.086197, 10.495080, 130.086255, 10.525424
130.086487, 10.495080, 130.086255, 10.525424
130.086761, 10.495080, 130.086255, 10.525424
130.087036, 10.495080, 130.086255, 10.525424
130.086197, 10.518245, 130.086255, 10.525424
130.086487, 10.518245, 130.086255, 10.525424
130.086761, 10.518245, 130.086255, 10.525424
130.087036, 10.518245, 130.086255, 10.525424
130.086197, 10.542248, 130.086255, 10.525424
130.086487, 10.542248, 130.086255, 10.525424
130.086761, 10.542248, 130.086255, 10.525424
371.113708, 10.542248, 371.113215, 10.557385
371.115051, 10.542248, 371.113215, 10.557385
144.065933, 10.657578, 144.065520, 10.683564
144.065598, 10.680755, 144.065520, 10.683564
144.065933, 10.680755, 144.065520, 10.683564
144.065277, 10.703745, 144.065520, 10.683564
144.065598, 10.703745, 144.065520, 10.683564
144.065933, 10.703745, 144.065520, 10.683564
144.066254, 10.703745, 144.065520, 10.683564
258.109406, 11.010245, 258.108447, 11.000000
282.119080, 11.104090, 282.119680, 11.118065
282.119965, 11.104090, 282.119680, 11.118065
282.120880, 11.104090, 282.119680, 11.118065
666.129150, 11.104090, 666.132048, 11.129082
666.132385, 11.104090, 666.132048, 11.129082
282.119080, 11.126747, 282.119680, 11.118065
282.119965, 11.126747, 282.119680, 11.118065
282.120880, 11.126747, 282.119680, 11.118065
666.129150, 11.126747, 666.132048, 11.129082
666.132385, 11.126747, 666.132048, 11.129082
167.033829, 11.147177, 167.033885, 11.139307
167.034241, 11.147177, 167.033885, 11.139307
167.034653, 11.147177, 167.033885, 11.139307
282.119080, 11.147177, 282.119680, 11.118065
282.119965, 11.147177, 282.119680, 11.118065
282.120880, 11.147177, 282.119680, 11.118065
385.127838, 11.147177, 385.128865, 11.175816
385.129272, 11.147177, 385.128865, 11.175816
385.130676, 11.147177, 385.128865, 11.175816
666.129150, 11.147177, 666.132048, 11.129082
666.132385, 11.147177, 666.132048, 11.129082
385.127838, 11.171578, 385.128865, 11.175816
385.129272, 11.171578, 385.128865, 11.175816
385.130676, 11.171578, 385.128865, 11.175816
150.076660, 11.193752, 150.076753, 11.219356
150.077011, 11.193752, 150.076753, 11.219356
150.077347, 11.193752, 150.076753, 11.219356
150.077698, 11.193752, 150.076753, 11.219356
385.127838, 11.193752, 385.128865, 11.175816
385.129272, 11.193752, 385.128865, 11.175816
385.130676, 11.193752, 385.128865, 11.175816
150.076660, 11.217247, 150.076753, 11.219356
150.077011, 11.217247, 150.076753, 11.219356
150.077347, 11.217247, 150.076753, 11.219356
150.077698, 11.217247, 150.076753, 11.219356
150.077011, 11.240253, 150.076753, 11.219356
150.077347, 11.240253, 150.076753, 11.219356
150.077698, 11.240253, 150.076753, 11.219356
348.069183, 11.485745, 348.070361, 11.505488
348.070404, 11.485745, 348.070361, 11.505488
348.071625, 11.485745, 348.070361, 11.505488
348.069183, 11.507912, 348.070361, 11.505488
348.070404, 11.507912, 348.070361, 11.505488
348.071625, 11.507912, 348.070361, 11.505488
190.070663, 11.621248, 190.070999, 11.613162
332.560760, 11.846422, 332.561837, 11.873385
332.561920, 11.846422, 332.561837, 11.873385
332.563049, 11.846422, 332.561837, 11.873385
332.560760, 11.869747, 332.561837, 11.873385
332.561920, 11.869747, 332.561837, 11.873385
332.563049, 11.869747, 332.561837, 11.873385
332.561920, 11.893082, 332.561837, 11.873385
332.563049, 11.893082, 332.561837, 11.873385
664.113464, 11.893082, 664.116398, 11.909926
664.116699, 11.893082, 664.116398, 11.909926
664.113464, 11.915580, 664.116398, 11.909926
664.116699, 11.915580, 664.116398, 11.909926
664.113464, 11.939580, 664.116398, 11.909926
664.116699, 11.939580, 664.116398, 11.909926
308.089996, 12.011747, 308.091083, 12.033714
308.091003, 12.011747, 308.091083, 12.033714
308.092041, 12.011747, 308.091083, 12.033714
156.075912, 12.035748, 156.076753, 12.045564
156.076279, 12.035748, 156.076753, 12.045564
156.076645, 12.035748, 156.076753, 12.045564
156.077026, 12.035748, 156.076753, 12.045564
156.077393, 12.035748, 156.076753, 12.045564
308.089996, 12.035748, 308.091083, 12.033714
308.091003, 12.035748, 308.091083, 12.033714
308.092041, 12.035748, 308.091083, 12.033714
148.059738, 12.058750, 148.060434, 12.078544
148.060089, 12.058750, 148.060434, 12.078544
148.060425, 12.058750, 148.060434, 12.078544
148.060760, 12.058750, 148.060434, 12.078544
148.061096, 12.058750, 148.060434, 12.078544
156.075912, 12.058750, 156.076753, 12.045564
156.076279, 12.058750, 156.076753, 12.045564
156.076645, 12.058750, 156.076753, 12.045564
156.077026, 12.058750, 156.076753, 12.045564
156.077393, 12.058750, 156.076753, 12.045564
308.089996, 12.058750, 308.091083, 12.033714
308.091003, 12.058750, 308.091083, 12.033714
308.092041, 12.058750, 308.091083, 12.033714
148.059738, 12.083247, 148.060434, 12.078544
148.060089, 12.083247, 148.060434, 12.078544
148.060425, 12.083247, 148.060434, 12.078544
148.060760, 12.083247, 148.060434, 12.078544
148.061096, 12.083247, 148.060434, 12.078544
148.059738, 12.107245, 148.060434, 12.078544
148.060089, 12.107245, 148.060434, 12.078544
148.060425, 12.107245, 148.060434, 12.078544
148.060760, 12.107245, 148.060434, 12.078544
148.061096, 12.107245, 148.060434, 12.078544
258.109406, 12.131078, 258.110100, 12.145510
258.110199, 12.131078, 258.110100, 12.145510
258.110962, 12.131078, 258.110100, 12.145510
258.109406, 12.156430, 258.110100, 12.145510
