96.96962, [M-H]-,[M-H]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
112.98559, [M-H]-,[M-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,F
112.98563, [M2+Na-2H]-,[M2+Na-2H]-,HCOOH,,"Formic acid, dimer, FA (anion)",,,F
126.90502, A-,A-,I,,Iodine anion (Iodide),,,V
162.9824, [M-H]-,[M-H]-,CF3CF2COOH,,"Pentafluoropropionic acid, Perfluoropropionic acid",,,E
212.07507, [M-H]-,[M-H]-,C10H15NO2S,,n-butyl benzenesulfonamide,,,"A, K"
226.97845, [M2-H]-,[M2-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,A
248.9604, [M2+Na-2H]-,[M2+Na-2H]-,CF3COOH,,"Trifluoroacetic acid, TFA, sodiated (anion)",,,A
255.23295, [M-H]-,[M-H]-,C16H32O2,,Palmitic acid (carboxylate anion) C16:0,,,K
281.2486, [M-H]-,[M-H]-,C18H34O2,,Oleic acid (carboxylate anion) C18:1,,,K
283.26425, [M-H]-,[M-H]-,C18H36O2,,Stearic acid (carboxylate anion) 18:0,,,K
316.7391, [63CuI+I]-,[63CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
318.73729, [65CuI+I]-,[65CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
,,,,,,,,
657.291649,C35H45O12-,,,,,,,
657.328034,C36H49O11-,,,,,,,
657.364419,C37H53O10-,,,,,,,
658.943445,C25H7O22-,,,,,,,
658.97983,C26H11O21-,,,,,,,
659.016216,C27H15O20-,,,,,,,
659.052601,C28H19O19-,,,,,,,
659.088986,C29H23O18-,,,,,,,
659.125372,C30H27O17-,,,,,,,
659.161757,C31H31O16-,,,,,,,
659.198143,C32H35O15-,,,,,,,
659.234528,C33H39O14-,,,,,,,
659.270913,C34H43O13-,,,,,,,
659.307299,C35H47O12-,,,,,,,
659.343684,C36H51O11-,,,,,,,
659.380069,C37H55O10-,,,,,,,
660.959095,C25H9O22-,,,,,,,
660.99548,C26H13O21-,,,,,,,
661.031865,C27H17O20-,,,,,,,
661.068251,C28H21O19-,,,,,,,
661.104636,C29H25O18-,,,,,,,
661.141022,C30H29O17-,,,,,,,
661.177407,C31H33O16-,,,,,,,
661.213792,C32H37O15-,,,,,,,
661.250178,C33H41O14-,,,,,,,
661.286563,C34H45O13-,,,,,,,
661.322949,C35H49O12-,,,,,,,
661.359334,C36H53O11-,,,,,,,
661.39572,C37H57O10-,,,,,,,
670.943445,C26H7O22-,,,,,,,
670.97983,C27H11O21-,,,,,,,
671.016216,C28H15O20-,,,,,,,
671.052601,C29H19O19-,,,,,,,
671.088986,C30H23O18-,,,,,,,
671.125372,C31H27O17-,,,,,,,
671.161757,C32H31O16-,,,,,,,
671.198143,C33H35O15-,,,,,,,
671.234528,C34H39O14-,,,,,,,
671.270913,C35H43O13-,,,,,,,
671.307299,C36H47O12-,,,,,,,
671.343684,C37H51O11-,,,,,,,
671.380069,C38H55O10-,,,,,,,
672.959095,C26H9O22-,,,,,,,
672.99548,C27H13O21-,,,,,,,
673.031865,C28H17O20-,,,,,,,
673.068251,C29H21O19-,,,,,,,
673.104636,C30H25O18-,,,,,,,
673.141022,C31H29O17-,,,,,,,
673.177407,C32H33O16-,,,,,,,
673.213792,C33H37O15-,,,,,,,
673.250178,C34H41O14-,,,,,,,
673.286563,C35H45O13-,,,,,,,
673.322949,C36H49O12-,,,,,,,
673.359334,C37H53O11-,,,,,,,
673.39572,C38H57O10-,,,,,,,
674.938359,C25H7O23-,,,,,,,
674.974745,C26H11O22-,,,,,,,
675.01113,C27H15O21-,,,,,,,
675.047515,C28H19O20-,,,,,,,
675.083901,C29H23O19-,,,,,,,
675.120286,C30H27O18-,,,,,,,
675.156672,C31H31O17-,,,,,,,
675.193057,C32H35O16-,,,,,,,
675.229443,C33H39O15-,,,,,,,
675.265828,C34H43O14-,,,,,,,
675.302213,C35H47O13-,,,,,,,
675.338599,C36H51O12-,,,,,,,
675.374984,C37H55O11-,,,,,,,
684.959095,C27H9O22-,,,,,,,
684.99548,C28H13O21-,,,,,,,
685.031865,C29H17O20-,,,,,,,
685.068251,C30H21O19-,,,,,,,
685.104636,C31H25O18-,,,,,,,
685.141022,C32H29O17-,,,,,,,
685.177407,C33H33O16-,,,,,,,
685.213792,C34H37O15-,,,,,,,
685.250178,C35H41O14-,,,,,,,
685.286563,C36H45O13-,,,,,,,
685.322949,C37H49O12-,,,,,,,
685.359334,C38H53O11-,,,,,,,
685.39572,C39H57O10-,,,,,,,
686.938359,C26H7O23-,,,,,,,
686.974745,C27H11O22-,,,,,,,
687.01113,C28H15O21-,,,,,,,
687.047515,C29H19O20-,,,,,,,
687.083901,C30H23O19-,,,,,,,
687.120286,C31H27O18-,,,,,,,
687.156672,C32H31O17-,,,,,,,
687.193057,C33H35O16-,,,,,,,
687.229443,C34H39O15-,,,,,,,
687.265828,C35H43O14-,,,,,,,
687.302213,C36H47O13-,,,,,,,
687.338599,C37H51O12-,,,,,,,
687.374984,C38H55O11-,,,,,,,
688.954009,C26H9O23-,,,,,,,
688.990395,C27H13O22-,,,,,,,
689.02678,C28H17O21-,,,,,,,
689.063165,C29H21O20-,,,,,,,
689.099551,C30H25O19-,,,,,,,
689.135936,C31H29O18-,,,,,,,
689.172322,C32H33O17-,,,,,,,
689.208707,C33H37O16-,,,,,,,
689.245093,C34H41O15-,,,,,,,
689.281478,C35H45O14-,,,,,,,
689.317863,C36H49O13-,,,,,,,
689.354249,C37H53O12-,,,,,,,
689.390634,C38H57O11-,,,,,,,
698.974745,C28H11O22-,,,,,,,
699.01113,C29H15O21-,,,,,,,
699.047515,C30H19O20-,,,,,,,
699.083901,C31H23O19-,,,,,,,
699.120286,C32H27O18-,,,,,,,
699.156672,C33H31O17-,,,,,,,
699.193057,C34H35O16-,,,,,,,
699.229443,C35H39O15-,,,,,,,
699.265828,C36H43O14-,,,,,,,
699.302213,C37H47O13-,,,,,,,
699.338599,C38H51O12-,,,,,,,
699.374984,C39H55O11-,,,,,,,
700.954009,C27H9O23-,,,,,,,
700.990395,C28H13O22-,,,,,,,
701.02678,C29H17O21-,,,,,,,
701.063165,C30H21O20-,,,,,,,
701.099551,C31H25O19-,,,,,,,
701.135936,C32H29O18-,,,,,,,
701.172322,C33H33O17-,,,,,,,
701.208707,C34H37O16-,,,,,,,
701.245093,C35H41O15-,,,,,,,
701.281478,C36H45O14-,,,,,,,
701.317863,C37H49O13-,,,,,,,
701.354249,C38H53O12-,,,,,,,
701.390634,C39H57O11-,,,,,,,
702.933274,C26H7O24-,,,,,,,
702.969659,C27H11O23-,,,,,,,
703.006045,C28H15O22-,,,,,,,
703.04243,C29H19O21-,,,,,,,
703.078816,C30H23O20-,,,,,,,
703.115201,C31H27O19-,,,,,,,
703.151586,C32H31O18-,,,,,,,
703.187972,C33H35O17-,,,,,,,
703.224357,C34H39O16-,,,,,,,
703.260742,C35H43O15-,,,,,,,
703.297128,C36H47O14-,,,,,,,
703.333513,C37H51O13-,,,,,,,
703.369899,C38H55O12-,,,,,,,
712.954009,C28H9O23-,,,,,,,
712.990395,C29H13O22-,,,,,,,
713.02678,C30H17O21-,,,,,,,
713.063165,C31H21O20-,,,,,,,
713.099551,C32H25O19-,,,,,,,
713.135936,C33H29O18-,,,,,,,
713.172322,C34H33O17-,,,,,,,
713.208707,C35H37O16-,,,,,,,
713.245093,C36H41O15-,,,,,,,
713.281478,C37H45O14-,,,,,,,
713.317863,C38H49O13-,,,,,,,
713.354249,C39H53O12-,,,,,,,
713.390634,C40H57O11-,,,,,,,
714.969659,C28H11O23-,,,,,,,
715.006045,C29H15O22-,,,,,,,
715.04243,C30H19O21-,,,,,,,
715.078816,C31H23O20-,,,,,,,
715.115201,C32H27O19-,,,,,,,
715.151586,C33H31O18-,,,,,,,
715.187972,C34H35O17-,,,,,,,
715.224357,C35H39O16-,,,,,,,
715.260742,C36H43O15-,,,,,,,
715.297128,C37H47O14-,,,,,,,
715.333513,C38H51O13-,,,,,,,
715.369899,C39H55O12-,,,,,,,
716.948924,C27H9O24-,,,,,,,
716.985309,C28H13O23-,,,,,,,
717.021695,C29H17O22-,,,,,,,
717.05808,C30H21O21-,,,,,,,
717.094465,C31H25O20-,,,,,,,
717.130851,C32H29O19-,,,,,,,
717.167236,C33H33O18-,,,,,,,
717.203622,C34H37O17-,,,,,,,
717.240007,C35H41O16-,,,,,,,
717.276393,C36H45O15-,,,,,,,
717.312778,C37H49O14-,,,,,,,
717.349163,C38H53O13-,,,,,,,
717.385549,C39H57O12-,,,,,,,
726.969659,C29H11O23-,,,,,,,
727.006045,C30H15O22-,,,,,,,
727.04243,C31H19O21-,,,,,,,
727.078816,C32H23O20-,,,,,,,
727.115201,C33H27O19-,,,,,,,
727.151586,C34H31O18-,,,,,,,
727.187972,C35H35O17-,,,,,,,
727.224357,C36H39O16-,,,,,,,
727.260742,C37H43O15-,,,,,,,
727.297128,C38H47O14-,,,,,,,
727.333513,C39H51O13-,,,,,,,
727.369899,C40H55O12-,,,,,,,
728.948924,C28H9O24-,,,,,,,
728.985309,C29H13O23-,,,,,,,
729.021695,C30H17O22-,,,,,,,
729.05808,C31H21O21-,,,,,,,
729.094465,C32H25O20-,,,,,,,
729.130851,C33H29O19-,,,,,,,
729.167236,C34H33O18-,,,,,,,
729.203622,C35H37O17-,,,,,,,
729.240007,C36H41O16-,,,,,,,
729.276393,C37H45O15-,,,,,,,
729.312778,C38H49O14-,,,,,,,
729.349163,C39H53O13-,,,,,,,
729.385549,C40H57O12-,,,,,,,
730.964574,C28H11O24-,,,,,,,
731.000959,C29H15O23-,,,,,,,
731.037345,C30H19O22-,,,,,,,
731.07373,C31H23O21-,,,,,,,
731.110116,C32H27O20-,,,,,,,
731.146501,C33H31O19-,,,,,,,
731.182886,C34H35O18-,,,,,,,
731.219272,C35H39O17-,,,,,,,
731.255657,C36H43O16-,,,,,,,
731.292042,C37H47O15-,,,,,,,
731.328428,C38H51O14-,,,,,,,
731.364813,C39H55O13-,,,,,,,
740.948924,C29H9O24-,,,,,,,
740.985309,C30H13O23-,,,,,,,
741.021695,C31H17O22-,,,,,,,
741.05808,C32H21O21-,,,,,,,
741.094465,C33H25O20-,,,,,,,
741.130851,C34H29O19-,,,,,,,
741.167236,C35H33O18-,,,,,,,
741.203622,C36H37O17-,,,,,,,
741.240007,C37H41O16-,,,,,,,
741.276393,C38H45O15-,,,,,,,
741.312778,C39H49O14-,,,,,,,
741.349163,C40H53O13-,,,,,,,
741.385549,C41H57O12-,,,,,,,
742.964574,C29H11O24-,,,,,,,
743.000959,C30H15O23-,,,,,,,
743.037345,C31H19O22-,,,,,,,
743.07373,C32H23O21-,,,,,,,
743.110116,C33H27O20-,,,,,,,
743.146501,C34H31O19-,,,,,,,
743.182886,C35H35O18-,,,,,,,
743.219272,C36H39O17-,,,,,,,
743.255657,C37H43O16-,,,,,,,
743.292042,C38H47O15-,,,,,,,
743.328428,C39H51O14-,,,,,,,
743.364813,C40H55O13-,,,,,,,
744.943839,C28H9O25-,,,,,,,
744.980224,C29H13O24-,,,,,,,
745.016609,C30H17O23-,,,,,,,
745.052995,C31H21O22-,,,,,,,
745.08938,C32H25O21-,,,,,,,
745.125765,C33H29O20-,,,,,,,
745.162151,C34H33O19-,,,,,,,
745.198536,C35H37O18-,,,,,,,
745.234922,C36H41O17-,,,,,,,
745.271307,C37H45O16-,,,,,,,
745.307693,C38H49O15-,,,,,,,
745.344078,C39H53O14-,,,,,,,
745.380463,C40H57O13-,,,,,,,
754.964574,C30H11O24-,,,,,,,
755.000959,C31H15O23-,,,,,,,
755.037345,C32H19O22-,,,,,,,
755.07373,C33H23O21-,,,,,,,
755.110116,C34H27O20-,,,,,,,
755.146501,C35H31O19-,,,,,,,
755.182886,C36H35O18-,,,,,,,
755.219272,C37H39O17-,,,,,,,
755.255657,C38H43O16-,,,,,,,
755.292042,C39H47O15-,,,,,,,
755.328428,C40H51O14-,,,,,,,
755.364813,C41H55O13-,,,,,,,
756.943839,C29H9O25-,,,,,,,
756.980224,C30H13O24-,,,,,,,
757.016609,C31H17O23-,,,,,,,
757.052995,C32H21O22-,,,,,,,
757.08938,C33H25O21-,,,,,,,
757.125765,C34H29O20-,,,,,,,
757.162151,C35H33O19-,,,,,,,
757.198536,C36H37O18-,,,,,,,
757.234922,C37H41O17-,,,,,,,
757.271307,C38H45O16-,,,,,,,
757.307693,C39H49O15-,,,,,,,
757.344078,C40H53O14-,,,,,,,
757.380463,C41H57O13-,,,,,,,
758.959489,C29H11O25-,,,,,,,
758.995874,C30H15O24-,,,,,,,
759.032259,C31H19O23-,,,,,,,
759.068645,C32H23O22-,,,,,,,
759.10503,C33H27O21-,,,,,,,
759.141415,C34H31O20-,,,,,,,
759.177801,C35H35O19-,,,,,,,
759.214186,C36H39O18-,,,,,,,
759.250572,C37H43O17-,,,,,,,
759.286957,C38H47O16-,,,,,,,
759.323342,C39H51O15-,,,,,,,
759.359728,C40H55O14-,,,,,,,
759.396113,C41H59O13-,,,,,,,
768.943839,C30H9O25-,,,,,,,
768.980224,C31H13O24-,,,,,,,
769.016609,C32H17O23-,,,,,,,
769.052995,C33H21O22-,,,,,,,
769.08938,C34H25O21-,,,,,,,
769.125765,C35H29O20-,,,,,,,
769.162151,C36H33O19-,,,,,,,
769.198536,C37H37O18-,,,,,,,
769.234922,C38H41O17-,,,,,,,
769.271307,C39H45O16-,,,,,,,
769.307693,C40H49O15-,,,,,,,
769.344078,C41H53O14-,,,,,,,
769.380463,C42H57O13-,,,,,,,
770.959489,C30H11O25-,,,,,,,
770.995874,C31H15O24-,,,,,,,
771.032259,C32H19O23-,,,,,,,
771.068645,C33H23O22-,,,,,,,
771.10503,C34H27O21-,,,,,,,
771.141415,C35H31O20-,,,,,,,
771.177801,C36H35O19-,,,,,,,
771.214186,C37H39O18-,,,,,,,
771.250572,C38H43O17-,,,,,,,
771.286957,C39H47O16-,,,,,,,
771.323342,C40H51O15-,,,,,,,
771.359728,C41H55O14-,,,,,,,
771.396113,C42H59O13-,,,,,,,
772.938753,C29H9O26-,,,,,,,
772.975138,C30H13O25-,,,,,,,
773.011524,C31H17O24-,,,,,,,
773.047909,C32H21O23-,,,,,,,
773.084295,C33H25O22-,,,,,,,
773.12068,C34H29O21-,,,,,,,
773.157066,C35H33O20-,,,,,,,
773.193451,C36H37O19-,,,,,,,
773.229836,C37H41O18-,,,,,,,
773.266222,C38H45O17-,,,,,,,
773.302607,C39H49O16-,,,,,,,
773.338993,C40H53O15-,,,,,,,
773.375378,C41H57O14-,,,,,,,
782.959489,C31H11O25-,,,,,,,
782.995874,C32H15O24-,,,,,,,
783.032259,C33H19O23-,,,,,,,
783.068645,C34H23O22-,,,,,,,
783.10503,C35H27O21-,,,,,,,
783.141415,C36H31O20-,,,,,,,
783.177801,C37H35O19-,,,,,,,
783.214186,C38H39O18-,,,,,,,
783.250572,C39H43O17-,,,,,,,
783.286957,C40H47O16-,,,,,,,
783.323342,C41H51O15-,,,,,,,
783.359728,C42H55O14-,,,,,,,
783.396113,C43H59O13-,,,,,,,
784.938753,C30H9O26-,,,,,,,
784.975138,C31H13O25-,,,,,,,
785.011524,C32H17O24-,,,,,,,
785.047909,C33H21O23-,,,,,,,
785.084295,C34H25O22-,,,,,,,
785.12068,C35H29O21-,,,,,,,
785.157066,C36H33O20-,,,,,,,
785.193451,C37H37O19-,,,,,,,
785.229836,C38H41O18-,,,,,,,
785.266222,C39H45O17-,,,,,,,
785.302607,C40H49O16-,,,,,,,
785.338993,C41H53O15-,,,,,,,
785.375378,C42H57O14-,,,,,,,
786.954403,C30H11O26-,,,,,,,
786.990789,C31H15O25-,,,,,,,
787.027174,C32H19O24-,,,,,,,
787.063559,C33H23O23-,,,,,,,
787.099945,C34H27O22-,,,,,,,
787.13633,C35H31O21-,,,,,,,
787.172715,C36H35O20-,,,,,,,
787.209101,C37H39O19-,,,,,,,
787.245486,C38H43O18-,,,,,,,
787.281872,C39H47O17-,,,,,,,
787.318257,C40H51O16-,,,,,,,
787.354643,C41H55O15-,,,,,,,
787.391028,C42H59O14-,,,,,,,
796.938753,C31H9O26-,,,,,,,
796.975138,C32H13O25-,,,,,,,
797.011524,C33H17O24-,,,,,,,
797.047909,C34H21O23-,,,,,,,
797.084295,C35H25O22-,,,,,,,
797.12068,C36H29O21-,,,,,,,
797.157066,C37H33O20-,,,,,,,
797.193451,C38H37O19-,,,,,,,
797.229836,C39H41O18-,,,,,,,
797.266222,C40H45O17-,,,,,,,
797.302607,C41H49O16-,,,,,,,
797.338993,C42H53O15-,,,,,,,
797.375378,C43H57O14-,,,,,,,
798.954403,C31H11O26-,,,,,,,
798.990789,C32H15O25-,,,,,,,
799.027174,C33H19O24-,,,,,,,
799.063559,C34H23O23-,,,,,,,
799.099945,C35H27O22-,,,,,,,
799.13633,C36H31O21-,,,,,,,
799.172715,C37H35O20-,,,,,,,
799.209101,C38H39O19-,,,,,,,
799.245486,C39H43O18-,,,,,,,
799.281872,C40H47O17-,,,,,,,
799.318257,C41H51O16-,,,,,,,
799.354643,C42H55O15-,,,,,,,
799.391028,C43H59O14-,,,,,,,
800.933668,C30H9O27-,,,,,,,
800.970053,C31H13O26-,,,,,,,
801.006439,C32H17O25-,,,,,,,
801.042824,C33H21O24-,,,,,,,
801.079209,C34H25O23-,,,,,,,
801.115595,C35H29O22-,,,,,,,
801.15198,C36H33O21-,,,,,,,
801.188365,C37H37O20-,,,,,,,
801.224751,C38H41O19-,,,,,,,
801.261136,C39H45O18-,,,,,,,
801.297522,C40H49O17-,,,,,,,
801.333907,C41H53O16-,,,,,,,
801.370293,C42H57O15-,,,,,,,
810.954403,C32H11O26-,,,,,,,
810.990789,C33H15O25-,,,,,,,
811.027174,C34H19O24-,,,,,,,
811.063559,C35H23O23-,,,,,,,
811.099945,C36H27O22-,,,,,,,
811.13633,C37H31O21-,,,,,,,
811.172715,C38H35O20-,,,,,,,
811.209101,C39H39O19-,,,,,,,
811.245486,C40H43O18-,,,,,,,
811.281872,C41H47O17-,,,,,,,
811.318257,C42H51O16-,,,,,,,
811.354643,C43H55O15-,,,,,,,
811.391028,C44H59O14-,,,,,,,
812.933668,C31H9O27-,,,,,,,
812.970053,C32H13O26-,,,,,,,
813.006439,C33H17O25-,,,,,,,
813.042824,C34H21O24-,,,,,,,
813.079209,C35H25O23-,,,,,,,
813.115595,C36H29O22-,,,,,,,
813.15198,C37H33O21-,,,,,,,
813.188365,C38H37O20-,,,,,,,
813.224751,C39H41O19-,,,,,,,
813.261136,C40H45O18-,,,,,,,
813.297522,C41H49O17-,,,,,,,
813.333907,C42H53O16-,,,,,,,
813.370293,C43H57O15-,,,,,,,
814.949318,C31H11O27-,,,,,,,
814.985703,C32H15O26-,,,,,,,
815.022088,C33H19O25-,,,,,,,
815.058474,C34H23O24-,,,,,,,
815.094859,C35H27O23-,,,,,,,
815.131245,C36H31O22-,,,,,,,
815.16763,C37H35O21-,,,,,,,
815.204015,C38H39O20-,,,,,,,
815.240401,C39H43O19-,,,,,,,
815.276786,C40H47O18-,,,,,,,
815.313172,C41H51O17-,,,,,,,
815.349557,C42H55O16-,,,,,,,
815.385943,C43H59O15-,,,,,,,
824.933668,C32H9O27-,,,,,,,
824.970053,C33H13O26-,,,,,,,
825.006439,C34H17O25-,,,,,,,
825.042824,C35H21O24-,,,,,,,
825.079209,C36H25O23-,,,,,,,
825.115595,C37H29O22-,,,,,,,
825.15198,C38H33O21-,,,,,,,
825.188365,C39H37O20-,,,,,,,
825.224751,C40H41O19-,,,,,,,
825.261136,C41H45O18-,,,,,,,
825.297522,C42H49O17-,,,,,,,
825.333907,C43H53O16-,,,,,,,
825.370293,C44H57O15-,,,,,,,
826.949318,C32H11O27-,,,,,,,
826.985703,C33H15O26-,,,,,,,
827.022088,C34H19O25-,,,,,,,
827.058474,C35H23O24-,,,,,,,
827.094859,C36H27O23-,,,,,,,
827.131245,C37H31O22-,,,,,,,
827.16763,C38H35O21-,,,,,,,
827.204015,C39H39O20-,,,,,,,
827.240401,C40H43O19-,,,,,,,
827.276786,C41H47O18-,,,,,,,
827.313172,C42H51O17-,,,,,,,
827.349557,C43H55O16-,,,,,,,
827.385943,C44H59O15-,,,,,,,
828.928582,C31H9O28-,,,,,,,
828.964968,C32H13O27-,,,,,,,
829.001353,C33H17O26-,,,,,,,
829.037738,C34H21O25-,,,,,,,
829.074124,C35H25O24-,,,,,,,
829.110509,C36H29O23-,,,,,,,
829.146895,C37H33O22-,,,,,,,
829.18328,C38H37O21-,,,,,,,
829.219666,C39H41O20-,,,,,,,
829.256051,C40H45O19-,,,,,,,
829.292436,C41H49O18-,,,,,,,
829.328822,C42H53O17-,,,,,,,
829.365207,C43H57O16-,,,,,,,
838.949318,C33H11O27-,,,,,,,
838.985703,C34H15O26-,,,,,,,
839.022088,C35H19O25-,,,,,,,
839.058474,C36H23O24-,,,,,,,
839.094859,C37H27O23-,,,,,,,
839.131245,C38H31O22-,,,,,,,
839.16763,C39H35O21-,,,,,,,
839.204015,C40H39O20-,,,,,,,
839.240401,C41H43O19-,,,,,,,
839.276786,C42H47O18-,,,,,,,
839.313172,C43H51O17-,,,,,,,
839.349557,C44H55O16-,,,,,,,
839.385943,C45H59O15-,,,,,,,
840.964968,C33H13O27-,,,,,,,
841.001353,C34H17O26-,,,,,,,
841.037738,C35H21O25-,,,,,,,
841.074124,C36H25O24-,,,,,,,
841.110509,C37H29O23-,,,,,,,
841.146895,C38H33O22-,,,,,,,
841.18328,C39H37O21-,,,,,,,
841.219666,C40H41O20-,,,,,,,
841.256051,C41H45O19-,,,,,,,
841.292436,C42H49O18-,,,,,,,
841.328822,C43H53O17-,,,,,,,
841.365207,C44H57O16-,,,,,,,
842.944232,C32H11O28-,,,,,,,
842.980618,C33H15O27-,,,,,,,
843.017003,C34H19O26-,,,,,,,
843.053388,C35H23O25-,,,,,,,
843.089774,C36H27O24-,,,,,,,
843.126159,C37H31O23-,,,,,,,
843.162545,C38H35O22-,,,,,,,
843.19893,C39H39O21-,,,,,,,
843.235315,C40H43O20-,,,,,,,
843.271701,C41H47O19-,,,,,,,
843.308086,C42H51O18-,,,,,,,
843.344472,C43H55O17-,,,,,,,
843.380857,C44H59O16-,,,,,,,
852.928582,C33H9O28-,,,,,,,
852.964968,C34H13O27-,,,,,,,
853.001353,C35H17O26-,,,,,,,
853.037738,C36H21O25-,,,,,,,
853.074124,C37H25O24-,,,,,,,
853.110509,C38H29O23-,,,,,,,
853.146895,C39H33O22-,,,,,,,
853.18328,C40H37O21-,,,,,,,
853.219666,C41H41O20-,,,,,,,
853.256051,C42H45O19-,,,,,,,
853.292436,C43H49O18-,,,,,,,
853.328822,C44H53O17-,,,,,,,
853.365207,C45H57O16-,,,,,,,
854.980618,C34H15O27-,,,,,,,
855.017003,C35H19O26-,,,,,,,
855.053388,C36H23O25-,,,,,,,
855.089774,C37H27O24-,,,,,,,
855.126159,C38H31O23-,,,,,,,
855.162545,C39H35O22-,,,,,,,
855.19893,C40H39O21-,,,,,,,
855.235315,C41H43O20-,,,,,,,
855.271701,C42H47O19-,,,,,,,
855.308086,C43H51O18-,,,,,,,
855.344472,C44H55O17-,,,,,,,
855.380857,C45H59O16-,,,,,,,
856.923497,C32H9O29-,,,,,,,
856.959882,C33H13O28-,,,,,,,
856.996268,C34H17O27-,,,,,,,
857.032653,C35H21O26-,,,,,,,
857.069039,C36H25O25-,,,,,,,
857.105424,C37H29O24-,,,,,,,
857.141809,C38H33O23-,,,,,,,
857.178195,C39H37O22-,,,,,,,
857.21458,C40H41O21-,,,,,,,
857.250966,C41H45O20-,,,,,,,
857.287351,C42H49O19-,,,,,,,
857.323736,C43H53O18-,,,,,,,
857.360122,C44H57O17-,,,,,,,
857.396507,C45H61O16-,,,,,,,
866.944232,C34H11O28-,,,,,,,
866.980618,C35H15O27-,,,,,,,
867.017003,C36H19O26-,,,,,,,
867.053388,C37H23O25-,,,,,,,
867.089774,C38H27O24-,,,,,,,
867.126159,C39H31O23-,,,,,,,
867.162545,C40H35O22-,,,,,,,
867.19893,C41H39O21-,,,,,,,
867.235315,C42H43O20-,,,,,,,
867.271701,C43H47O19-,,,,,,,
867.308086,C44H51O18-,,,,,,,
867.344472,C45H55O17-,,,,,,,
867.380857,C46H59O16-,,,,,,,
868.996268,C35H17O27-,,,,,,,
869.032653,C36H21O26-,,,,,,,
869.069039,C37H25O25-,,,,,,,
869.105424,C38H29O24-,,,,,,,
869.141809,C39H33O23-,,,,,,,
869.178195,C40H37O22-,,,,,,,
869.21458,C41H41O21-,,,,,,,
869.250966,C42H45O20-,,,,,,,
869.287351,C43H49O19-,,,,,,,
869.323736,C44H53O18-,,,,,,,
869.360122,C45H57O17-,,,,,,,
869.396507,C46H61O16-,,,,,,,
870.939147,C33H11O29-,,,,,,,
870.975532,C34H15O28-,,,,,,,
871.011918,C35H19O27-,,,,,,,
871.048303,C36H23O26-,,,,,,,
871.084689,C37H27O25-,,,,,,,
871.121074,C38H31O24-,,,,,,,
871.157459,C39H35O23-,,,,,,,
871.193845,C40H39O22-,,,,,,,
871.23023,C41H43O21-,,,,,,,
871.266615,C42H47O20-,,,,,,,
871.303001,C43H51O19-,,,,,,,
871.339386,C44H55O18-,,,,,,,
871.375772,C45H59O17-,,,,,,,
880.959882,C35H13O28-,,,,,,,
880.996268,C36H17O27-,,,,,,,
881.032653,C37H21O26-,,,,,,,
881.069039,C38H25O25-,,,,,,,
881.105424,C39H29O24-,,,,,,,
881.141809,C40H33O23-,,,,,,,
881.178195,C41H37O22-,,,,,,,
881.21458,C42H41O21-,,,,,,,
881.250966,C43H45O20-,,,,,,,
881.287351,C44H49O19-,,,,,,,
881.323736,C45H53O18-,,,,,,,
881.360122,C46H57O17-,,,,,,,
881.396507,C47H61O16-,,,,,,,
883.011918,C36H19O27-,,,,,,,
883.048303,C37H23O26-,,,,,,,
883.084689,C38H27O25-,,,,,,,
883.121074,C39H31O24-,,,,,,,
883.157459,C40H35O23-,,,,,,,
883.193845,C41H39O22-,,,,,,,
883.23023,C42H43O21-,,,,,,,
883.266615,C43H47O20-,,,,,,,
883.303001,C44H51O19-,,,,,,,
883.339386,C45H55O18-,,,,,,,
883.375772,C46H59O17-,,,,,,,
884.918412,C33H9O30-,,,,,,,
884.954797,C34H13O29-,,,,,,,
884.991182,C35H17O28-,,,,,,,
885.027568,C36H21O27-,,,,,,,
885.063953,C37H25O26-,,,,,,,
885.100339,C38H29O25-,,,,,,,
885.136724,C39H33O24-,,,,,,,
885.173109,C40H37O23-,,,,,,,
885.209495,C41H41O22-,,,,,,,
885.24588,C42H45O21-,,,,,,,
885.282265,C43H49O20-,,,,,,,
885.318651,C44H53O19-,,,,,,,
885.355036,C45H57O18-,,,,,,,
885.391422,C46H61O17-,,,,,,,
894.939147,C35H11O29-,,,,,,,
894.975532,C36H15O28-,,,,,,,
895.011918,C37H19O27-,,,,,,,
895.048303,C38H23O26-,,,,,,,
895.084689,C39H27O25-,,,,,,,
895.121074,C40H31O24-,,,,,,,
895.157459,C41H35O23-,,,,,,,
895.193845,C42H39O22-,,,,,,,
895.23023,C43H43O21-,,,,,,,
895.266615,C44H47O20-,,,,,,,
895.303001,C45H51O19-,,,,,,,
895.339386,C46H55O18-,,,,,,,
895.375772,C47H59O17-,,,,,,,
897.027568,C37H21O27-,,,,,,,
897.063953,C38H25O26-,,,,,,,
897.100339,C39H29O25-,,,,,,,
897.136724,C40H33O24-,,,,,,,
897.173109,C41H37O23-,,,,,,,
897.209495,C42H41O22-,,,,,,,
897.24588,C43H45O21-,,,,,,,
897.282265,C44H49O20-,,,,,,,
